Name	RA	Dec	V	B-V	U-B	V-R	R-I	V-I	n	m	e_V	e_B-V	e_U-B	e_V-R	e_R-I	e_V-I	
GD 2B	00 07 25.484	+33 19 00.17	13.279	+0.588	-0.001	+0.350	+0.349	+0.697	19	10	0.0010	0.0018	0.0019	0.0011	0.0010	0.0014	
GD 2A	00 07 26.174	+33 18 19.18	14.853	+0.912	+0.684	+0.530	+0.462	+1.002	17	8	0.0024	0.0021	0.0091	0.0016	0.0020	0.0022	
GD 2	00 07 32.261	+33 17 27.62	13.802	-0.295	-1.192	-0.142	-0.171	-0.313	26	13	0.0015	0.0016	0.0015	0.0009	0.0018	0.0022	
GD 2C	00 07 32.355	+33 20 14.69	13.314	+0.619	+0.081	+0.360	+0.357	+0.718	17	8	0.0013	0.0013	0.0017	0.0008	0.0015	0.0013	
GD 2E	00 07 36.675	+33 17 41.73	15.188	+0.575	+0.076	+0.339	+0.323	+0.652	7	4	0.0024	0.0038	0.0070	0.0024	0.0085	0.0087	
GD 2D	00 07 41.634	+33 17 57.33	14.255	+0.605	+0.007	+0.355	+0.370	+0.729	9	5	0.0049	0.0024	0.0024	0.0042	0.0065	0.0047	
GD 410	00 35 24.704	+60 58 11.27	12.845	+0.725	+0.086	+0.441	+0.438	+0.879	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 8C	00 39 37.145	+31 37 03.40	13.299	+0.636	+0.140	+0.371	+0.358	+0.724	14	7	0.0016	0.0019	0.0019	0.0009	0.0015	0.0021	
GD 8A	00 39 40.965	+31 32 44.53	14.593	+0.695	+0.199	+0.400	+0.378	+0.780	17	9	0.0011	0.0012	0.0042	0.0012	0.0030	0.0024	
GD 8B	00 39 44.863	+31 36 36.48	13.653	+0.803	+0.454	+0.446	+0.395	+0.837	17	8	0.0006	0.0006	0.0032	0.0005	0.0013	0.0011	
GD 8	00 39 52.163	+31 32 29.19	14.699	-0.275	-1.169	-0.145	-0.197	-0.348	17	9	0.0012	0.0007	0.0027	0.0007	0.0022	0.0024	
SA 20-245	00 44 21.182	+45 55 12.77	8.951	+0.866	+0.575	+0.476	+0.421	+0.894	9	4	0.0017	0.0006	0.0017	0.0010	0.0010	0.0011	
SA 20-130	00 44 44.437	+45 49 50.97	11.032	+1.052	+0.845	+0.553	+0.514	+1.069	11	6	0.0005	0.0012	0.0021	0.0009	0.0005	0.0009	
SA 20-133	00 44 49.522	+45 44 57.85	10.824	+0.457	+0.138	+0.268	+0.260	+0.528	10	6	0.0007	0.0014	0.0018	0.0010	0.0010	0.0006	
SA 20-139	00 45 13.834	+45 47 48.08	11.272	+1.076	+0.893	+0.567	+0.522	+1.091	10	5	0.0006	0.0006	0.0037	0.0006	0.0009	0.0005	
SA 20-39	00 45 34.099	+45 36 48.21	9.353	+0.472	+0.092	+0.277	+0.280	+0.555	10	5	0.0013	0.0016	0.0013	0.0010	0.0007	0.0016	
SA 20-291	00 45 37.914	+45 56 54.86	10.454	+0.794	+0.429	+0.425	+0.388	+0.812	8	5	0.0009	0.0004	0.0011	0.0004	0.0012	0.0014	
SA 20-43	00 45 42.450	+45 35 15.39	10.412	+0.764	+0.301	+0.430	+0.409	+0.838	6	3	0.0006	0.0022	0.0031	0.0012	0.0023	0.0031	
SA 20-297	00 45 51.821	+45 53 44.79	8.907	-0.054	-0.417	-0.015	-0.020	-0.032	6	3	0.0007	0.0006	0.0017	0.0017	0.0017	0.0012	
SA 20-420	00 45 56.621	+46 04 33.36	9.520	+1.007	+0.733	+0.534	+0.500	+1.028	14	8	0.0006	0.0006	0.0006	0.0007	0.0004	0.0009	
SA 20-163	00 45 59.779	+45 48 13.11	10.458	+1.029	+0.872	+0.554	+0.498	+1.042	11	6	0.0004	0.0011	0.0022	0.0009	0.0016	0.0005	
SA 20-431	00 46 21.507	+46 06 30.24	9.951	+1.091	+0.974	+0.571	+0.521	+1.088	12	7	0.0016	0.0005	0.0010	0.0006	0.0006	0.0006	
SA 20-435	00 46 25.267	+46 02 50.54	11.307	+0.664	+0.199	+0.377	+0.354	+0.732	12	7	0.0007	0.0006	0.0006	0.0011	0.0009	0.0006	
SA 20-182	00 46 31.259	+45 50 25.68	12.732	+1.023	+0.763	+0.548	+0.517	+1.066	11	6	0.0027	0.0016	0.0030	0.0011	0.0021	0.0023	
SA 20-186	00 46 34.507	+45 50 50.56	11.109	+0.418	+0.115	+0.259	+0.275	+0.531	14	8	0.0005	0.0006	0.0006	0.0006	0.0006	0.0009	
SA 20-446	00 46 48.808	+46 10 50.01	10.005	+0.246	+0.161	+0.127	+0.129	+0.259	14	7	0.0004	0.0008	0.0017	0.0009	0.0005	0.0010	
SA 20-338	00 47 08.418	+45 54 16.58	12.475	+0.515	+0.023	+0.303	+0.301	+0.608	10	5	0.0022	0.0016	0.0031	0.0005	0.0018	0.0018	
SA 20-208	00 47 10.514	+45 52 33.54	12.628	+0.606	+0.010	+0.359	+0.361	+0.722	9	4	0.0009	0.0010	0.0035	0.0013	0.0022	0.0014	
SA 20-340	00 47 11.482	+45 53 22.77	10.127	+0.968	+0.637	+0.514	+0.480	+0.995	10	5	0.0014	0.0004	0.0030	0.0010	0.0004	0.0008	
SA 20-456	00 47 12.443	+46 10 57.01	9.543	+0.090	+0.067	+0.040	+0.041	+0.080	14	7	0.0006	0.0010	0.0019	0.0006	0.0006	0.0010	
SA 20-342	00 47 15.064	+45 54 09.59	14.650	+0.923	+0.556	+0.516	+0.460	+0.976	15	7	0.0007	0.0029	0.0058	0.0007	0.0007	0.0014	
SA 20-343	00 47 15.351	+45 55 13.18	14.124	+0.730	+0.289	+0.412	+0.384	+0.803	12	6	0.0017	0.0023	0.0023	0.0026	0.0007	0.0034	
SA 20-345	00 47 19.094	+45 53 29.19	14.406	+0.755	+0.286	+0.412	+0.382	+0.797	17	8	0.0026	0.0043	0.0055	0.0024	0.0027	0.0028	
SA 20-346	00 47 21.152	+45 53 42.01	14.875	+0.530	-0.036	+0.340	+0.317	+0.648	21	9	0.0013	0.0027	0.0047	0.0020	0.0043	0.0043	
GD 273	01 06 20.426	+56 04 56.53	15.694	+0.084	-0.665	-0.069	-0.084	-0.152	2	1	0.0071	0.0028	0.0177	0.0481	0.0269	0.0233	
GD 10	01 06 53.995	+39 30 56.92	15.456	+0.198	-0.621	+0.054	+0.127	+0.155	10	4	0.0007	0.0032	0.0029	0.0028	0.0110	0.0120	
GD 10A	01 06 58.606	+39 30 53.12	13.694	+0.824	+0.453	+0.461	+0.422	+0.880	7	4	0.0006	0.0007	0.0017	0.0013	0.0005	0.0007	
