HIP	RA	Dec	V	V_sigma	(B-V)	(B-V)_sigma	(U-B)	(U-B)_sigma	(V-R)	(V-R)_sigma	(V-I)	(V-I)_sigma
2814	00 35 48.6947861381	+49 01 16.152829117	6.98	0.010	0.610	0.030	NaN	NaN	NaN	NaN	NaN	NaN
2860	00 36 15.4574126799	+48 33 20.741005110	7.52	0.000	-0.04	0	NaN	NaN	NaN	NaN	NaN	NaN
2988	00 36 45.4393965192 	+48 57 07.900698213	8.63	0.010	1.28	0.040	NaN	NaN	NaN	NaN	NaN	NaN
2514	00 31 52.8251896096 	+48 39 28.289623029	7.88	0.010	0.110	0.03	NaN	NaN	NaN	NaN	NaN	NaN
348	00 04 21.5023504495	+12 57 26.262029504	8.6	0.004	0.644	0.008	0.151	0.026	0.348	0.004	0.695	0.007
996	00 12 28.3340590163	+20 14 03.652225321	8.197	0.012	0.643	0.019	0.146	0.023	0.351	0.004	0.689	0.006
1499	00 18 41.8673684261	-08 03 10.805762856	6.474	0.012	0.68	0.004	0.265	0.011	0.368	0.004	0.714	0.004
2131	00 27 01.9763031018	+60 24 10.124053446	8.923	0.008	0.643	0.004	0.106	0.023	0.355	0.009	0.72	0.009
2894	00 36 43.3715619022	+48 49 41.821634201	8.651	0.018	0.659	0.028	0.2	0.039	0.35	0.034	0.703	0.019
4909	01 02 57.4204868552	-09 51 40.460185331	8.512	0.006	0.637	0.004	0.119	0.013	0.357	0.005	0.687	0.004
5134	01 05 42.9050450435	+02 28 37.618101019	8.973	0.005	0.637	0.007	0.074	0.007	0.346	0.004	0.703	0.004
6407	01 22 18.7218217766	+03 30 47.255876676	8.624	0.002	0.652	0.005	0.135	0.01	0.36	0.004	0.704	0.004
7245	01 33 20.1848210075	+29 15 54.538987330	8.361	0.001	0.675	0.006	0.148	0.017	0.354	0.004	0.691	0.004
8507	01 49 42.9210363773	-18 56 09.842522100	8.899	0.004	0.651	0.004	0.13	0.007	0.363	0.005	0.73	0.004
8841	01 53 40.7975363412	-13 15 00.151763247	9.246	0.006	0.674	0.004	0.157	0.014	0.378	0.004	0.729	0.015
9349	02 00 05.3380960261	-13 32 46.000032697	7.992	0.017	0.65	0.004	0.147	0.008	0.343	0.004	0.691	0.004
11072	02 22 32.6034277561	-23 49 00.487776704	5.19	0.007	0.597	0.004	0.12	0.004	0.355	0.02	0.692	0.02
11915	02 33 49.0263031764	-19 36 42.500345899	8.615	0.008	0.649	0.004	0.134	0.004	0.354	0.004	0.699	0.004
